adverse_event,report_count
PRODUCT ADMINISTERED AT INAPPROPRIATE SITE,2186
FIBROMYALGIA,2181
DISSOCIATION,2168
PANIC ATTACK,2127
DYSURIA,2121
INJECTION SITE URTICARIA,2116
PRODUCT ADMINISTRATION ERROR,2116
HEART RATE DECREASED,2111
DRUG RESISTANCE,2111
COMPLICATION OF DEVICE REMOVAL,2108
DYSKINESIA,2104
KNEE ARTHROPLASTY,2077
DERMATITIS,2074
NERVOUSNESS,2071
CHOLELITHIASIS,2058
PROCEDURAL PAIN,2056
DEPRESSED LEVEL OF CONSCIOUSNESS,2048
BREAST CANCER,2035
ABORTION SPONTANEOUS,2027
CARDIAC FAILURE CONGESTIVE,2018
IMPAIRED QUALITY OF LIFE,2016
EXPIRED PRODUCT ADMINISTERED,2013
GLOSSODYNIA,2005
DYSARTHRIA,2004
HYPERGLYCAEMIA,2002
ANAPHYLACTIC SHOCK,1990
LIMB DISCOMFORT,1981
RESPIRATORY DISORDER,1974
RESTLESSNESS,1963
ERUCTATION,1955
DIVERTICULITIS,1945
DEAFNESS,1945
LIP SWELLING,1942
SKIN IRRITATION,1941
INTERCEPTED PRODUCT PREPARATION ERROR,1932
INCORRECT ROUTE OF PRODUCT ADMINISTRATION,1930
DEVICE INFORMATION OUTPUT ISSUE,1917
SYNOVITIS,1915
GLYCOSYLATED HAEMOGLOBIN INCREASED,1914
CEREBRAL HAEMORRHAGE,1906
EMOTIONAL DISORDER,1899
INCORRECT PRODUCT ADMINISTRATION DURATION,1890
WHITE BLOOD CELL COUNT INCREASED,1886
MUCOSAL INFLAMMATION,1884
STAPHYLOCOCCAL INFECTION,1856
SKIN LESION,1856
DEVICE EXPULSION,1852
VAGINAL HAEMORRHAGE,1843
PEMPHIGUS,1842
DEVICE DEPLOYMENT ISSUE,1830
DRUG USE DISORDER,1827
INCREASED APPETITE,1819
CLOSTRIDIUM DIFFICILE INFECTION,1817
SYRINGE ISSUE,1813
ERECTILE DYSFUNCTION,1809
HYPERSOMNIA,1806
DEVICE OCCLUSION,1805
SEASONAL ALLERGY,1792
MENINGIOMA,1782
HEAVY MENSTRUAL BLEEDING,1781
MOVEMENT DISORDER,1781
NEURALGIA,1777
INFUSION SITE PAIN,1774
BLOOD POTASSIUM DECREASED,1773
INJURY ASSOCIATED WITH DEVICE,1760
ALTERED STATE OF CONSCIOUSNESS,1759
DISORIENTATION,1757
LOWER LIMB FRACTURE,1748
HUNGER,1748
PRODUCT PHYSICAL ISSUE,1745
CYSTITIS,1740
LABORATORY TEST ABNORMAL,1734
HEPATITIS,1734
CONJUNCTIVITIS,1729
HYPOPHAGIA,1724
PSYCHOTIC DISORDER,1722
FOLLICULITIS,1719
MUSCULOSKELETAL PAIN,1719
BLOOD PRESSURE ABNORMAL,1717
PNEUMONIA ASPIRATION,1715
RED BLOOD CELL COUNT DECREASED,1712
PERICARDIAL EFFUSION,1711
ORAL HERPES,1703
ASCITES,1700
POOR QUALITY PRODUCT ADMINISTERED,1688
NIGHTMARE,1686
PULMONARY FIBROSIS,1684
SNEEZING,1682
JOINT STIFFNESS,1678
HEPATIC FAILURE,1670
HELICOBACTER INFECTION,1659
IMMUNODEFICIENCY,1657
POOR QUALITY SLEEP,1656
DIPLOPIA,1656
MOOD ALTERED,1655
RASH MACULO-PAPULAR,1653
THROAT TIGHTNESS,1648
HAND DEFORMITY,1641
"HALLUCINATION, VISUAL",1638
ANKYLOSING SPONDYLITIS,1636
FOREIGN BODY IN REPRODUCTIVE TRACT,1636
LOCALISED INFECTION,1635
MENTAL STATUS CHANGES,1635
FEELING COLD,1633
HEPATOTOXICITY,1628
PRODUCT PACKAGING QUANTITY ISSUE,1624
URINARY INCONTINENCE,1617
CARDIO-RESPIRATORY ARREST,1612
THERAPEUTIC RESPONSE CHANGED,1610
HAEMATURIA,1607
SWOLLEN TONGUE,1607
MOUTH ULCERATION,1607
TRANSIENT ISCHAEMIC ATTACK,1599
REBOUND ATOPIC DERMATITIS,1597
PHOTOPHOBIA,1596
CANDIDA INFECTION,1596
METASTASES TO BONE,1594
JOINT INJURY,1592
PANCREATITIS ACUTE,1590
SKIN ULCER,1590
BLOOD PRESSURE SYSTOLIC INCREASED,1588
PARKINSON^S DISEASE,1581
PRESYNCOPE,1581
GASTROENTERITIS VIRAL,1572
RESPIRATORY DISTRESS,1572
UNRESPONSIVE TO STIMULI,1568
SPINAL FRACTURE,1568
LUNG NEOPLASM MALIGNANT,1560
SHOCK,1560
HEPATIC CIRRHOSIS,1560
SKIN HAEMORRHAGE,1550
HEREDITARY ANGIOEDEMA,1547
PRODUCT COMMUNICATION ISSUE,1540
FULL BLOOD COUNT DECREASED,1538
BACTERIAL INFECTION,1537
APHASIA,1535
DEVICE PHYSICAL PROPERTY ISSUE,1532
DUODENAL ULCER PERFORATION,1528
HERNIA,1523
DYSSTASIA,1520
PRESCRIBED OVERDOSE,1520
SKIN CANCER,1515
