adverse_event,report_count
COMPUTERISED TOMOGRAM,6
COMPULSIVE CHEEK BITING,6
CONGENITAL NYSTAGMUS,6
CONGENITAL PULMONARY AIRWAY MALFORMATION,6
COMPLEMENT FACTOR C4 INCREASED,6
PLASMODIUM FALCIPARUM INFECTION,6
LIVING ALONE,6
PLACENTA ACCRETA,6
PHRENIC NERVE INJURY,6
SPHINGOMONAS PAUCIMOBILIS INFECTION,6
CREATININE URINE ABNORMAL,6
LACRIMAL STRUCTURAL DISORDER,6
NEURECTOMY,6
SPEECH-LANGUAGE THERAPY,6
CHOROIDAL HAEMORRHAGE,6
CHOROIDAL DYSTROPHY,6
VERTEBROBASILAR ARTERY STENOSIS,6
CSF SHUNT OPERATION,6
CHORIORETINAL DISORDER,6
VERTEBROBASILAR INSUFFICIENCY,6
LUNG NEOPLASM SURGERY,6
VASCULAR DEVICE USER,6
POLIOMYELITIS,6
CULTURE STOOL POSITIVE,6
CUTANEOUS T-CELL LYMPHOMA REFRACTORY,6
CYCLIC NEUTROPENIA,6
SUPPORTIVE CARE,6
SMOOTH MUSCLE ANTIBODY POSITIVE,6
SMEGMA ACCUMULATION,6
CHRONIC LYMPHOCYTIC INFLAMMATION WITH PONTINE PERIVASCULAR ENHANCEMENT RESPONSIVE TO STEROIDS,6
VENTRICULAR REMODELLING,6
LDL/HDL RATIO INCREASED,6
CRANIAL SUTURES WIDENING,6
SUBACUTE HEPATIC FAILURE,6
VENTRICULAR DYSSYNCHRONY,6
SUBARACHNOID HAEMATOMA,6
PITUITARY TUMOUR RECURRENT,6
SPINAL STROKE,6
CORNEAL IMPLANT,6
LARYNGEAL NECROSIS,6
LARYNGEAL HAEMORRHAGE,6
SPINAL LIGAMENT OSSIFICATION,6
SUBDURAL ABSCESS,6
LOSS OF VISUAL CONTRAST SENSITIVITY,6
LARYNGEAL DYSPNOEA,6
PNEUMONIA MORAXELLA,6
VASCULAR RESISTANCE PULMONARY INCREASED,6
CILIARY BODY DISORDER,6
PINEOCYTOMA,6
COSTAL CARTILAGE FRACTURE,6
SPINAL CORD INJURY LUMBAR,6
CRANIAL NERVE DECOMPRESSION,6
SEPTUM PELLUCIDUM AGENESIS,6
INTRANASAL HYPOAESTHESIA,6
TESTOSTERONE DEFICIENCY SYNDROME,6
MENINGOENCEPHALITIS AMOEBIC,6
ADMINISTRATION SITE CELLULITIS,6
EYELID MYOCLONUS,6
VITH NERVE DISORDER,6
VOCAL CORD HAEMORRHAGE,6
EOSINOPHILIC OTITIS MEDIA,6
PERICARDITIS ADHESIVE,6
THYROIDITIS ACUTE,6
EPIGLOTTIS DYSFUNCTION,6
RUBELLA,6
MEDICAL DEVICE SITE PRURITUS,6
PERINEPHRIC COLLECTION,6
SALIVARY GLAND CYST,6
OCULAR SARCOIDOSIS,6
INFUSION SITE STREAKING,6
ORTHOSTATIC HEADACHE,6
BRONCHOSCOPIC LUNG VOLUME REDUCTION,6
ADRENAL CORTEX NECROSIS,6
FACIAL MYOKYMIA,6
ADJUSTMENT DISORDER WITH ANXIETY,6
FACTOR VIII DEFICIENCY,6
BRACHIAL PLEXUS INJURY,6
INJECTION SITE PHLEBITIS,6
INJECTION SITE MUSCLE ATROPHY,6
TONSILLAR ERYTHEMA,6
INCREASED LIVER STIFFNESS,6
ENDOSCOPY GASTROINTESTINAL,6
FAILURE TO ANASTOMOSE,6
INJECTION SITE JOINT INFECTION,6
MEDICAL DEVICE SITE ABSCESS,6
BURSA REMOVAL,6
ADRENAL INSUFFICIENCY NEONATAL,6
THYROID GLAND ABSCESS,6
ENTEROCOLITIS FUNGAL,6
ENTHESOPHYTE,6
BURN OF INTERNAL ORGANS,6
ERYTHEMA MIGRANS,6
MENINGOCOCCAL BACTERAEMIA,6
SCLERAL HAEMORRHAGE,6
REVASCULARISATION PROCEDURE,6
ADMINISTRATION SITE INDENTATION,6
INFERIOR VENA CAVAL OCCLUSION,6
MELANOSIS,6
PRECURSOR T-LYMPHOBLASTIC LYMPHOMA/LEUKAEMIA,6
EXPLORATORY OPERATION,6
MEMBRANOUS-LIKE GLOMERULOPATHY WITH MASKED IGG-KAPPA DEPOSITS,6
BRIEF PSYCHOTIC DISORDER WITH MARKED STRESSORS,6
EXPOSURE TO HOUSEHOLD CHEMICALS,6
ERYTHRODERMIC ATOPIC DERMATITIS,6
PERIHEPATIC DISCOMFORT,6
INFLAMMATORY CARCINOMA OF THE BREAST,6
APPLICATION SITE EXTRAVASATION,6
TONGUE ABSCESS,6
NECROBIOSIS,6
RHESUS ANTIBODIES POSITIVE,6
RHEUMATIC HEART DISEASE,6
EXCESSIVE EXERCISE,6
EXCESSIVE DYNAMIC AIRWAY COLLAPSE,6
PERICARDITIS LUPUS,6
PERINEAL ERYTHEMA,6
ERYTHROID DYSPLASIA,6
POST PROCEDURAL URINE LEAK,6
OCULAR RETROBULBAR HAEMORRHAGE,6
PREMATURE MENARCHE,6
INFECTIVE CORNEAL ULCER,6
TONGUE DYSPLASIA,6
ESCHERICHIA PERITONITIS,6
EYEGLASSES THERAPY,6
RIGHT VENTRICULAR SYSTOLIC PRESSURE DECREASED,6
VACCINATION SITE BRUISING,6
EYE PROSTHESIS INSERTION,6
EYE OPACITY,6
APPLICATION SITE INDURATION,6
INFUSION SITE HYPERTROPHY,6
ORTHOGNATHIC SURGERY,6
CALCIFICATION METASTATIC,6
TONSILLAR EXUDATE,6
BREAST PROSTHESIS REMOVAL,6
VAGINAL CANCER METASTATIC,6
APHAKIA,6
BONE NON-UNION,6
FELTY^S SYNDROME,6
SEMINOMA,6
VISUAL PERSEVERATION,6
CARCINOID HEART DISEASE,6
THORACOTOMY,6
MAYER-ROKITANSKY-KUSTER-HAUSER SYNDROME,6
THORACIC SPINAL STENOSIS,6
OESOPHAGEAL COMPRESSION,6
ALCOHOL DETOXIFICATION,6
ECHINOCOCCIASIS,6
INTENTIONAL REMOVAL OF DRUG DELIVERY SYSTEM BY PATIENT,6
NEOEHRLICHIOSIS,6
ALCOHOL PROBLEM,6
CARDIAC STEATOSIS,6
THORACIC CAVITY DRAINAGE,6
ALCOHOL TEST FALSE POSITIVE,6
PROCALCITONIN DECREASED,6
ELECTROCARDIOGRAM LOW VOLTAGE,6
ELECTROCARDIOGRAM J WAVE ABNORMAL,6
FIBRILLARY GLOMERULONEPHRITIS,6
FIBRIN DEGRADATION PRODUCTS INCREASED,6
FINE MOTOR DELAY,6
CARDIAC PACEMAKER REMOVAL,6
FIRST BITE SYNDROME,6
FLAP NECROSIS,6
ALCOHOLIC HANGOVER,6
AORTIC PERFORATION,6
SCROTAL HAEMORRHAGE,6
VULVAR EROSION,6
FEAR OF SURGERY,6
PERIPROSTHETIC METALLOSIS,6
OSTECTOMY,6
RENOVASCULAR HYPERTENSION,6
ADENOCARCINOMA OF APPENDIX,6
INCISION SITE VESICLES,6
TOTAL COMPLEMENT ACTIVITY DECREASED,6
PROCEDURAL PANCREATITIS,6
MESONEPHRIC DUCT CYST,6
AQUAGENIC PRURITUS,6
EAR LOBE INFECTION,6
CAMPTOCORMIA,6
SENILE OSTEOPOROSIS,6
AORTIC INJURY,6
ALICE IN WONDERLAND SYNDROME,6
CAMPYLOBACTER BACTERAEMIA,6
SCROTAL DISORDER,6
CANNABIS INTERACTION,6
POSTOPERATIVE RESPIRATORY DISTRESS,6
THROMBOSIS PROPHYLAXIS,6
ENCEPHALITIS FUNGAL,6
EMOTIONAL DISORDER OF CHILDHOOD,6
NUCLEATED RED CELLS,6
CAPNOCYTOPHAGA SEPSIS,6
CANCER WITH A HIGH TUMOUR MUTATIONAL BURDEN,6
VITAMIN A INCREASED,6
OESOPHAGEAL PAPILLOMA,5
ARTERIAL STIFFNESS,5
ARTERIAL BYPASS OPERATION,5
VASCULAR RESISTANCE SYSTEMIC,5
UTERINE HYPOTONUS,5
VASCULAR RESISTANCE SYSTEMIC DECREASED,5
OVARIAN RUPTURE,5
OPSOCLONUS,5
ANGIOSARCOMA RECURRENT,5
AUDITORY NERVE DISORDER,5
NEUTROPHIL MORPHOLOGY ABNORMAL,5
OVERWORK,5
VENTRICULAR FAILURE,5
PANCREATIC HAEMORRHAGE,5
ARTERIAL INSUFFICIENCY,5
ORAL HERPES ZOSTER,5
ARTERIAL PERFORATION,5
NEUTROPHIL PELGER-HUET ANOMALY PRESENT,5
ANEURYSM REPAIR,5
VASCULITIS GASTROINTESTINAL,5
NEURONE-SPECIFIC ENOLASE INCREASED,5
VULVAR DYSPLASIA,5
ABDOMINAL PANNICULECTOMY,5
NEUROTRANSMITTER LEVEL ALTERED,5
YELLOW NAIL SYNDROME,5
ORAL DYSPLASIA,5
WAIST CIRCUMFERENCE DECREASED,5
ANKLE IMPINGEMENT,5
OVERSENSING,5
ANEURYSMAL BONE CYST,5
X-RAY LIMB ABNORMAL,5
ABDOMINAL HERNIA INFECTION,5
VENTRICULAR ASYSTOLE,5
ACUTE GRAFT VERSUS HOST DISEASE ORAL,5
ARTERIAL FLOW VELOCITY DECREASED,5
ATRIAL APPENDAGE CLOSURE,5
OVARIAN CYST TORSION,5
VISUAL ANALOGUE SCALE,5
AORTOENTERIC FISTULA,5
AIRWAY SECRETION CLEARANCE THERAPY,5
ALVEOLAR LUNG DISEASE,5
VESTIBULITIS,5
UROSTOMY COMPLICATION,5
AMINO ACID METABOLISM DISORDER,5
OESOPHAGOGASTROSCOPY,5
VITAMIN B6 ABNORMAL,5
AMNIOCENTESIS ABNORMAL,5
VESSEL PUNCTURE SITE INJURY,5
ACCIDENTAL EXPOSURE TO PRODUCT BY ELDERLY PERSON,5
AEROCOCCUS URINAE INFECTION,5
ARTHROPOD SCRATCH,5
MYXOFIBROSARCOMA,5
ADVERSE EVENT FOLLOWING IMMUNISATION,5
AMNIORRHOEA,5
ACCESSORY SPLEEN,5
VAGINAL DYSPLASIA,5
PANCREATIC CALCIFICATION,5
WOUND EVISCERATION,5
ORBITAL HAEMORRHAGE,5
NEONATAL GASTROINTESTINAL HAEMORRHAGE,5
ORBITAL CYST,5
ALLERGIC EOSINOPHILIA,5
VAGINAL NEOPLASM,5
NEONATAL HYPONATRAEMIA,5
ALLERGIC BRONCHITIS,5
VAGINAL PH ABNORMAL,5
ASTHMA LATE ONSET,5
OMENTAL INFARCTION,5
ALLERGY TO SYNTHETIC FABRIC,5
ALCOHOLIC,5
NAIL ATROPHY,5
ASTHMA PROPHYLAXIS,5
NON-OBSTRUCTIVE CARDIOMYOPATHY,5
ALCOHOL TEST POSITIVE,5
VAGINAL STRICTURE,5
VIRAL CARDIOMYOPATHY,5
OBSESSIVE-COMPULSIVE PERSONALITY DISORDER,5
VACUUM EXTRACTOR DELIVERY,5
ANAL FUNGAL INFECTION,5
NERVE OEDEMA,5
ACQUIRED VON WILLEBRAND^S DISEASE,5
VASCULAR COGNITIVE IMPAIRMENT,5
VACCINATION SITE ABSCESS,5
VASCULAR COMPLICATION ASSOCIATED WITH DEVICE,5
ADMINISTRATION SITE ODOUR,5
ANTI-AQUAPORIN-4 ANTIBODY POSITIVE,5
ORTHODONTIC PROCEDURE,5
APPLICATION SITE CELLULITIS,5
NICOTINIC ACID DEFICIENCY,5
ANAESTHESIA ORAL,5
VERTEBRAL LATERAL RECESS STENOSIS,5
ARTERIOVENOUS FISTULA OCCLUSION,5
APPLICATION SITE ECZEMA,5
URINARY TRACT STOMA COMPLICATION,5
ACROSCLEROSIS,5
ORAL MUCOSA HAEMATOMA,5
OPHTHALMOLOGICAL EXAMINATION ABNORMAL,5
OTOSCLEROSIS,5
ADMINISTRATION SITE PAPULE,5
ACCELERATED IDIOVENTRICULAR RHYTHM,5
ATRIAL NATRIURETIC PEPTIDE INCREASED,5
NOCTURNAL HYPERTENSION,5
ANTIBODY TEST NEGATIVE,5
WELLENS^ SYNDROME,5
OESOPHAGITIS CHEMICAL,5
OTITIS EXTERNA FUNGAL,5
ADRENAL CYST,5
AMNIOTIC FLUID INDEX INCREASED,5
VACTERL SYNDROME,5
ARTHRITIS FUNGAL,5
AMPHETAMINES NEGATIVE,5
VACCINATION SITE WARMTH,5
VASCULAR ACCESS MALFUNCTION,5
AMPUTATION STUMP PAIN,5
ANTI-PLATELET ANTIBODY POSITIVE,5
VASCULAR ACCESS SITE HAEMATOMA,5
ANTI-HLA ANTIBODY TEST POSITIVE,5
ABSCESS OF EXTERNAL EAR,5
LUNG ADENOCARCINOMA STAGE I,5
INTRACRANIAL MENINGIOMA MALIGNANT,5
AURICULAR HAEMATOMA,5
DECIDUAL CAST,5
DIFFUSE LARGE B-CELL LYMPHOMA STAGE I,5
INTRATHECAL PUMP INSERTION,5
SHUNT THROMBOSIS,5
INTRANASAL PARAESTHESIA,5
DISSEMINATED LEISHMANIASIS,5
INTRACRANIAL VENOUS SINUS STENOSIS,5
DISSEMINATED SPOROTRICHOSIS,5
SHOULDER DEFORMITY,5
SHIGELLA INFECTION,5
SHIFT TO THE LEFT,5
SEXUAL ABSTINENCE,5
INTESTINAL VASCULAR DISORDER,5
INTESTINAL ULCER PERFORATION,5
POST PROCEDURAL MENINGITIS,5
DRUG METABOLISING ENZYME DECREASED,5
INTESTINAL MUCOSAL ATROPHY,5
DUODENAL ATRESIA,5
DIFFUSE AXONAL INJURY,5
POST CARDIAC ARREST SYNDROME,5
IODINE OVERLOAD,5
SKIN GRAFT INFECTION,5
DECREASED VENTRICULAR PRELOAD,5
DEHYDROEPIANDROSTERONE INCREASED,5
JOINT PROSTHESIS USER,5
JC VIRUS GRANULE CELL NEURONOPATHY,5
DERMATOFIBROSARCOMA PROTUBERANS,5
ISOSTHENURIA,5
DEVICE CAPTURING ISSUE,5
DEVICE EXTRUSION,5
POST ABORTION HAEMORRHAGE,5
ISCHAEMIC ENTERITIS,5
DEVICE INTERACTION,5
PORTAL SHUNT,5
PORTAL SHUNT PROCEDURE,5
IRIS DISCOLOURATION,5
POSITRON EMISSION TOMOGRAM,5
DIAPHRAGMATIC RUPTURE,5
POST STROKE DEPRESSION,5
INTERVERTEBRAL DISC CALCIFICATION,5
SEMEN VISCOSITY DECREASED,5
ENLARGED CLITORIS,5
END-TIDAL CO2 INCREASED,5
ENDOCARDITIS FIBROPLASTICA,5
SCLERAL THINNING,5
POSTPARTUM ANXIETY,5
ENDOMETRIAL CANCER STAGE I,5
ENDOMETRIAL STROMAL SARCOMA,5
SCAPHOCEPHALY,5
SARS-COV-2 VIRAEMIA,5
POSTOPERATIVE THORACIC PROCEDURE COMPLICATION,5
ENTERITIS NECROTICANS,5
ENZYME ACTIVITY INCREASED,5
SARCOMA UTERUS,5
POTASSIUM WASTING NEPHROPATHY,5
EOSINOPHILIC HEPATITIS,5
SALPINGO-OOPHORITIS,5
INHIBITING ANTIBODIES POSITIVE,5
ENCOPRESIS,5
SCROTAL DISCOMFORT,5
SEMEN VISCOSITY ABNORMAL,5
ELECTROCARDIOGRAM QRS COMPLEX,5
ECHOPRAXIA,5
POST VACCINATION SYNDROME,5
POST-ANOXIC MYOCLONUS,5
POST-TRAUMATIC AMNESTIC DISORDER,5
INTERMITTENT EXPLOSIVE DISORDER,5
ECZEMATOUS CHEILITIS,5
SECONDARY THROMBOCYTOSIS,5
POSTHAEMORRHAGIC HYDROCEPHALUS,5
POSTMENOPAUSE,5
ELECTROCARDIOGRAM ST SEGMENT,5
ELECTROCARDIOGRAM T WAVE BIPHASIC,5
SCROTAL INJURY,5
ELLIPTOCYTOSIS,5
SCROTAL EXFOLIATION,5
INSULIN THERAPY,5
EMPHYSEMATOUS PYELONEPHRITIS,5
DECOMPRESSIVE CRANIECTOMY,5
POLYMENORRHAGIA,5
LIVER CONTUSION,5
CYTOLOGY ABNORMAL,5
SQUAMOUS CELL CARCINOMA OF THE VAGINA,5
LICHEN MYXOEDEMATOSUS,5
PLATYPNOEA-ORTHODEOXIA SYNDROME,5
LEUKODYSTROPHY,5
SPONTANEOUS SUBDURAL HAEMATOMA,5
PLEURAL ADHESION,5
CONGENITAL TORTICOLLIS,5
SPONTANEOUS EJACULATION,5
CONJUNCTIVAL BLEB,5
CONJUNCTIVAL DEPOSIT,5
CONJUNCTIVAL DISCOLOURATION,5
LENTICULAR PIGMENTATION,5
SPLENIC NEOPLASM MALIGNANCY UNSPECIFIED,5
PLEURODESIS,5
CONJUNCTIVAL PRIMARY ACQUIRED MELANOSIS,5
PML/RAR ALPHA EXPRESSION,5
SPLENIC CANDIDIASIS,5
LIFE EXPECTANCY SHORTENED,5
STAPHYLOCOCCAL PHARYNGITIS,5
LIGAMENT LAXITY,5
STICKY PLATELET SYNDROME,5
COLLOID BRAIN CYST,5
COLON CANCER STAGE I,5
STOMAL VARICES,5
COLOUR VISION TESTS ABNORMAL,5
COMA ACIDOTIC,5
COMPULSIVE LIP BITING,5
STOMA SITE CANDIDA,5
LIP COSMETIC PROCEDURE,5
CONGENITAL HYDROCEPHALUS,5
CONGENITAL AORTIC ANOMALY,5
CONGENITAL ARTERIAL MALFORMATION,5
STERNAL INJURY,5
LIMB PROSTHESIS USER,5
CONGENITAL ECTOPIC BLADDER,5
STEATOBLEPHARON,5
CONGENITAL HAND MALFORMATION,5
SPLEEN PALPABLE,5
CONTINUOUS HAEMODIAFILTRATION,5
LEFT ATRIAL VOLUME INCREASED,5
SOFT TISSUE FOREIGN BODY,5
CRYOTHERAPY,5
SPEECH SOUND DISORDER,5
CRYSTAL URINE,5
SPECIFIC GRAVITY URINE DECREASED,5
LABELLED DRUG-ALCOHOL INTERACTION ISSUE,5
KORSAKOFF^S SYNDROME,5
KOEBNER PHENOMENON,5
CUTANEOUS SPOROTRICHOSIS,5
PNEUMONIA TOXOPLASMAL,5
CUTANEOUS T-CELL LYMPHOMA STAGE IV,5
CUTIS VERTICIS GYRATA,5
SNAKE BITE,5
KERATOSIS FOLLICULAR,5
SMALL INTESTINAL ULCER PERFORATION,5
CYSTOSCOPY ABNORMAL,5
CYTOGENETIC RESPONSE,5
SPERM CONCENTRATION ZERO,5
CRANIORACHISCHISIS,5
CONTRAINDICATION TO VACCINATION,5
SPINAL RETROLISTHESIS,5
CONUS MEDULLARIS SYNDROME,5
COOMBS INDIRECT TEST POSITIVE,5
LATERAL MEDULLARY SYNDROME,5
SPINAL SUPPORT,5
AUSCULTATION,5
SPINAL SHOCK,5
PNEUMONIA CHLAMYDIAL,5
LARYNGEAL NEOPLASM,5
CRANIAL NERVE INJURY,5
PNEUMONIA HERPES VIRAL,5
CORONARY ARTERY RESTENOSIS,5
CORONARY VEIN STENOSIS,5
CORTICAL DYSPLASIA,5
SPINAL CORD LIPOMA,5
SPINAL CORD ISCHAEMIA,5
COXSACKIE VIRAL INFECTION,5
POUCHITIS INFECTIVE,5
POVERTY,5
ROULEAUX FORMATION,5
PRE-EXISTING DISEASE,5
HYPOPHARYNGEAL CANCER,5
GLOTTAL INCOMPETENCE,5
QUADRANTANOPIA,5
HYPOKALAEMIC SYNDROME,5
GOTTRON^S PAPULES,5
HYPOCITRATURIA,5
GREY ZONE LYMPHOMA,5
PURPURA NON-THROMBOCYTOPENIC,5
PUNCTURE SITE PRURITUS,5
HAEMODIALYSIS COMPLICATION,5
PUNCTURE SITE INJURY,5
HAEMOPHILUS BACTERAEMIA,5
HAEMORRHAGIC HEPATIC CYST,5
HAEMOSIDERIN STAIN,5
PULMONARY VALVE DISEASE,5
"HALLUCINATION, SYNAESTHETIC",5
HAND-FOOT-GENITAL SYNDROME,5
PRODUCT PACKAGING COUNTERFEIT,5
RADIATION MUCOSITIS,5
GLOMERULAR FILTRATION RATE,5
HYSTEROSALPINGO-OOPHORECTOMY,5
GASTROSTOMY TUBE REMOVAL,5
REACTIVE INFECTIOUS MUCOCUTANEOUS ERUPTION,5
REACTIVE CAPILLARY ENDOTHELIAL PROLIFERATION,5
GENERAL PHYSICAL CONDITION NORMAL,5
RATHKE^S CLEFT CYST,5
GENITAL DYSAESTHESIA,5
IDIOPATHIC GENERALISED EPILEPSY,5
RASH PAPULOSQUAMOUS,5
GLIOSARCOMA,5
HYPOXIC ISCHAEMIC ENCEPHALOPATHY NEONATAL,5
RAPID CORRECTION OF HYPONATRAEMIA,5
GINGIVAL ATROPHY,5
RADICULOTOMY,5
GINGIVAL OEDEMA,5
HYPOSPLENISM,5
RADICAL CYSTECTOMY,5
PULMONARY RADIATION INJURY,5
PULMONARY OIL MICROEMBOLISM,5
HEAD DEFORMITY,5
HERPES SIMPLEX MENINGOENCEPHALITIS,5
HEPATOSPLENIC CANDIDIASIS,5
HUMAN PAPILLOMAVIRUS REACTIVATION,5
HEREDITARY MOTOR AND SENSORY NEUROPATHY,5
PSEUDOHYPOALDOSTERONISM,5
PROSTATIC ADENOMA,5
HUMAN CHORIONIC GONADOTROPIN DECREASED,5
HUERTHLE CELL CARCINOMA,5
HERPES SIMPLEX NECROTISING RETINOPATHY,5
HEPATITIS VIRAL TEST POSITIVE,5
PSEUDO-BARTTER SYNDROME,5
HETEROTAXIA,5
HOMOSEXUALITY,5
HIGH-PITCHED CRYING,5
HOLOPROSENCEPHALY,5
PROSTATIC VARICES,5
HISTIOCYTIC SARCOMA,5
HEPATOBILIARY CANCER,5
HEPATITIS CHRONIC ACTIVE,5
PULMONARY INTERSTITIAL EMPHYSEMA SYNDROME,5
HEPATIC ARTERY OCCLUSION,5
PROGESTERONE ABNORMAL,5
HEAVY METAL ABNORMAL,5
HEAVY METAL INCREASED,5
HEINZ BODIES,5
PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA,5
HYPERKERATOSIS FOLLICULARIS ET PARAFOLLICULARIS,5
HYPERINSULINISM,5
HYPERCHYLOMICRONAEMIA,5
PROMISCUITY,5
PULMONARY ARTERIOVENOUS FISTULA,5
PULMONARY ARTERIAL PRESSURE DECREASED,5
HYPERBARIC OXYGEN THERAPY,5
HYPERANDROGENISM,5
PUDENDAL CANAL SYNDROME,5
HYPERALBUMINAEMIA,5
HEPATITIS C RNA,5
REACTIVE PERFORATING COLLAGENOSIS,5
GASTROOESOPHAGEAL HAEMORRHAGE,5
GASTROOESOPHAGEAL CANCER,5
INCREASED FOETAL MOVEMENTS,5
INFECTED INTESTINAL ULCER,5
FACTOR IX DEFICIENCY,5
FAECAL CALPROTECTIN,5
RETINAL PIGMENT EPITHELIOPATHY,5
FAECALURIA,5
FAILED IN VITRO FERTILISATION,5
FALLOPIAN TUBE ABSCESS,5
RETINAL LASER COAGULATION,5
EYELID TUMOUR,5
FAMILIAL TREMOR,5
RETINAL ARTERY THROMBOSIS,5
FASCIOTOMY,5
PRIMARY EFFUSION LYMPHOMA,5
FAT EMBOLISM SYNDROME,5
FATTY ACID DEFICIENCY,5
RETICULOCYTE HAEMOGLOBIN INCREASED,5
INFECTED SEROMA,5
EYELID SCAR,5
RETICULOCYTE COUNT ABNORMAL,5
EXPOSURE TO UNSPECIFIED AGENT,5
EUTHYROID SICK SYNDROME,5
EWING^S SARCOMA RECURRENT,5
PRECANCEROUS LESION EXCISION,5
PRECURSOR B-LYMPHOBLASTIC LYMPHOMA,5
PRECURSOR B-LYMPHOBLASTIC LYMPHOMA RECURRENT,5
EXHIBITIONISM,5
EXPOSURE KERATITIS,5
EXTERNAL AUDITORY CANAL ATRESIA,5
EYELID HAEMATOMA,5
EYE INFECTION INTRAOCULAR,5
EYE LUXATION,5
INFECTIVE KERATITIS,5
RETROPERITONEAL CANCER,5
EYELID ABRASION,5
INFECTIOUS IRIDOCYCLITIS,5
INFECTIOUS DISEASE CARRIER,5
INCISION SITE INFLAMMATION,5
FEMORAL ARTERY ANEURYSM,5
GASTROINTESTINAL MELANOMA,5
REFUSAL OF EXAMINATION,5
FONTANELLE BULGING,5
FOOT AND MOUTH DISEASE,5
FOREIGN BODY IN EAR,5
FRACTURE MALUNION,5
FUNGAL CYSTITIS,5
RENAL ARTERY ARTERIOSCLEROSIS,5
GALLBLADDER ATROPHY,5
REDUCED BLADDER CAPACITY,5
FOLLICULAR LYMPHOMA STAGE IV,5
RED BLOOD CELL COUNT,5
RED BLOOD CELL ANALYSIS ABNORMAL,5
IMMUNE TOLERANCE INDUCTION,5
RECTAL DYSPLASIA,5
RECTAL CANCER STAGE IV,5
GASTROINTESTINAL DYSPLASIA,5
ILIAC ARTERY PERFORATION,5
PRODUCT CAUGHT FIRE,5
RENAL PSEUDOANEURYSM,5
FEMORAL NERVE PALSY,5
IMPLANT SITE PRURITUS,5
FIBULA AGENESIS,5
FIGHT IN SCHOOL,5
FINGER REPAIR OPERATION,5
INABILITY TO CRAWL,5
RESPIRATORY DYSKINESIA,5
IMPLANTABLE DEFIBRILLATOR REPLACEMENT,5
RENIN DECREASED,5
FOETAL CARDIAC ARREST,5
RENAL REPLACEMENT THERAPY,5
RENAL VEIN COMPRESSION,5
FOETAL HEART RATE INCREASED,5
IMPLANT SITE INJURY,5
IMPLANT SITE INFLAMMATION,5
IMPLANT SITE FIBROSIS,5
IMPLANT SITE DISCOLOURATION,5
IMPLANT SITE DISCHARGE,5
LISTERIA ENCEPHALITIS,5
SPINAL SUBDURAL HAEMATOMA,5
COELIAC ARTERY STENOSIS,5
CARDIAC CIRRHOSIS,5
MONOCULAR VISION,5
TESTIS DISCOMFORT,5
CARDIOVASCULAR DECONDITIONING,5
PERISTALSIS VISIBLE,5
CARDIAC VALVE SCLEROSIS,5
BLADDER NEOPLASM SURGERY,5
PERIPORTAL FIBROSIS,5
MASTOCYTOMA,5
CARDIAC RESYNCHRONISATION THERAPY,5
PATIENT RESTRAINT,5
THERAPY NAIVE,5
THERMOHYPERAESTHESIA,5
MIXED OBSTRUCTIVE AND RESTRICTIVE LUNG DISEASE,5
MEDICAL DEVICE SITE INJURY,5
MIXED ADENONEUROENDOCRINE CARCINOMA,5
MAXILLOFACIAL SPACE INFECTION,5
CARCINOID TUMOUR OF THE GASTROINTESTINAL TRACT,5
BLOOD ALKALINE PHOSPHATASE,5
CARCINOEMBRYONIC ANTIGEN DECREASED,5
BLOOD ANDROSTENEDIONE INCREASED,5
MISOPHONIA,5
THROMBOLYSIS,5
CALCIUM METABOLISM DISORDER,5
MEDIASTINAL SHIFT,5
THYROGLOSSAL CYST,5
THYROID ADENOMA,5
CARNITINE DEFICIENCY,5
TROPONIN I ABNORMAL,5
TROUSSEAU^S SIGN,5
MANTLE CELL LYMPHOMA REFRACTORY,5
MAGNETIC RESONANCE IMAGING,5
CEREBELLAR HYPOPLASIA,5
PHARYNGEAL EXUDATE,5
BILIARY NEOPLASM,5
MAGNETIC RESONANCE IMAGING THORACIC ABNORMAL,5
TYMPANOPLASTY,5
TALIPES CORRECTION,5
MALACOPLAKIA GASTROINTESTINAL,5
CENTRAL NERVOUS SYSTEM BACTERIAL INFECTION,5
BIOPSY LIVER ABNORMAL,5
CELL MARKER DECREASED,5
CD4/CD8 RATIO INCREASED,5
CD4/CD8 RATIO DECREASED,5
TUMOUR FISTULISATION,5
CD19 LYMPHOCYTE COUNT ABNORMAL,5
TENDON NECROSIS,5
MALIGNANT NEOPLASM OF RENAL PELVIS,5
TENDON SHEATH DISORDER,5
BIOPSY SITE COMPLICATION,5
TENDON TRANSFER,5
CATHETER SITE DRYNESS,5
CATARACT DIABETIC,5
PERITUMOURAL OEDEMA,5
MANDIBULAR MASS,5
TESTICULAR FAILURE,5
MEDICAL DEVICE SITE DISCHARGE,5
BUNDLE BRANCH BLOCK BILATERAL,5
BILE OUTPUT ABNORMAL,5
TRACHEOBRONCHITIS VIRAL,5
PELVIC SEPSIS,5
BRAIN STENT INSERTION,5
MENSTRUAL HEADACHE,5
MENSTRUATION NORMAL,5
BRACHYCEPHALY,5
PERICARDIAL CALCIFICATION,5
MESENTERIC HAEMORRHAGE,5
BORRELIA INFECTION,5
TRACTION,5
METASTATIC UTERINE CANCER,5
MET GENE AMPLIFICATION,5
